Dates,1,2,3,4,5,6,7,8
1979-01-01,19.284,19.284,19.284,19.284,19.284,19.284,19.284,19.284
1979-01-02,20.59,20.59,20.59,20.59,20.59,20.59,20.59,20.59
1979-01-03,21.075,21.075,21.075,21.075,21.075,21.075,21.075,21.075
1979-01-04,21.216,21.216,21.216,21.216,21.216,21.216,21.216,21.216
1979-01-05,22.42,22.42,22.42,22.42,22.42,22.42,22.42,22.42
1979-01-06,20.71,20.71,20.71,20.71,20.71,20.71,20.71,20.71
1979-01-07,20.672,20.672,20.672,20.672,20.672,20.672,20.672,20.672
1979-01-08,21.107,21.107,21.107,21.107,21.107,21.107,21.107,21.107
1979-01-09,21.136,21.136,21.136,21.136,21.136,21.136,21.136,21.136
1979-01-10,21.431,21.431,21.431,21.431,21.431,21.431,21.431,21.431
1979-01-11,20.517,20.517,20.517,20.517,20.517,20.517,20.517,20.517
1979-01-12,21.326,21.326,21.326,21.326,21.326,21.326,21.326,21.326
1979-01-13,23.746,23.746,23.746,23.746,23.746,23.746,23.746,23.746
1979-01-14,22.314,22.314,22.314,22.314,22.314,22.314,22.314,22.314
1979-01-15,22.36,22.36,22.36,22.36,22.36,22.36,22.36,22.36
1979-01-16,22.181,22.181,22.181,22.181,22.181,22.181,22.181,22.181
1979-01-17,22.843,22.843,22.843,22.843,22.843,22.843,22.843,22.843
1979-01-18,23.073,23.073,23.073,23.073,23.073,23.073,23.073,23.073
1979-01-19,22.315,22.315,22.315,22.315,22.315,22.315,22.315,22.315
1979-01-20,21.46,21.46,21.46,21.46,21.46,21.46,21.46,21.46
1979-01-21,20.91,20.91,20.91,20.91,20.91,20.91,20.91,20.91
1979-01-22,22.12,22.12,22.12,22.12,22.12,22.12,22.12,22.12
1979-01-23,21.294,21.294,21.294,21.294,21.294,21.294,21.294,21.294
1979-01-24,19.537,19.537,19.537,19.537,19.537,19.537,19.537,19.537
1979-01-25,19.58,19.58,19.58,19.58,19.58,19.58,19.58,19.58
1979-01-26,21.278,21.278,21.278,21.278,21.278,21.278,21.278,21.278
1979-01-27,20.972,20.972,20.972,20.972,20.972,20.972,20.972,20.972
1979-01-28,21.564,21.564,21.564,21.564,21.564,21.564,21.564,21.564
1979-01-29,21.913,21.913,21.913,21.913,21.913,21.913,21.913,21.913
1979-01-30,25.212,25.212,25.212,25.212,25.212,25.212,25.212,25.212
1979-01-31,20.012,20.012,20.012,20.012,20.012,20.012,20.012,20.012
1979-02-01,21.499,21.499,21.499,21.499,21.499,21.499,21.499,21.499
1979-02-02,22.194,22.194,22.194,22.194,22.194,22.194,22.194,22.194
1979-02-03,22.504,22.504,22.504,22.504,22.504,22.504,22.504,22.504
1979-02-04,18.736,18.736,18.736,18.736,18.736,18.736,18.736,18.736
1979-02-05,22.584,22.584,22.584,22.584,22.584,22.584,22.584,22.584
1979-02-06,21.727,21.727,21.727,21.727,21.727,21.727,21.727,21.727
1979-02-07,22.454,22.454,22.454,22.454,22.454,22.454,22.454,22.454
1979-02-08,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
1979-02-09,8.134,8.134,8.134,8.134,8.134,8.134,8.134,8.134
1979-02-10,11.272,11.272,11.272,11.272,11.272,11.272,11.272,11.272
1979-02-11,20.729,20.729,20.729,20.729,20.729,20.729,20.729,20.729
1979-02-12,19.253,19.253,19.253,19.253,19.253,19.253,19.253,19.253
1979-02-13,20.295,20.295,20.295,20.295,20.295,20.295,20.295,20.295
