slc,land_code,soil_code,main_crop,second_crop,crop_rotation,vegetation_type,special_class,tile_depth,stream_depth,no_layers,depth_1,depth_2,depth_3
1,1,6,0,0,0,1,0,0,1,2,0.5,1.0,0.0
2,2,6,0,0,0,1,0,0,1,2,0.5,1.0,0.0
3,3,6,0,0,0,1,0,0,1,2,0.5,1.0,0.0
4,4,6,0,0,0,1,0,0,1,2,0.5,1.0,0.0
5,4,9,0,0,0,1,0,0,1,2,0.5,1.0,0.0
6,5,1,0,0,0,1,0,0,1,2,0.5,1.0,0.0
7,5,2,0,0,0,1,0,0,1,2,0.5,1.0,0.0
8,5,3,0,0,0,1,0,0,1,2,0.5,1.0,0.0
9,5,4,0,0,0,1,0,0,1,2,0.5,1.0,0.0
10,5,5,0,0,0,1,0,0,1,2,0.5,1.0,0.0
11,5,6,0,0,0,1,0,0,1,2,0.5,1.0,0.0
12,5,7,0,0,0,1,0,0,1,2,0.5,1.0,0.0
13,5,8,0,0,0,1,0,0,1,2,0.5,1.0,0.0
14,5,9,0,0,0,1,0,0,1,2,0.5,1.0,0.0
15,6,2,0,0,0,1,0,0,1,2,0.5,1.0,0.0
16,7,1,0,0,0,1,0,0,1,2,0.5,1.0,0.0
17,7,2,0,0,0,1,0,0,1,2,0.5,1.0,0.0
18,7,9,0,0,0,1,0,0,1,2,0.5,1.0,0.0
19,8,1,0,0,0,1,0,0,1,2,0.5,1.0,0.0
20,8,2,0,0,0,1,0,0,1,2,0.5,1.0,0.0
21,9,6,0,0,0,1,0,0,1,2,0.5,1.0,0.0
